Objekt,X,Y,Razdalja_mm,Čas
yellow_cone,44,623,0,00:39:13.115016
yellow_cone,44,623,0,00:39:13.147423
yellow_cone,45,621,0,00:39:13.172407
yellow_cone,45,621,0,00:39:13.200378
yellow_cone,45,617,0,00:39:13.768597
yellow_cone,45,617,571,00:39:13.798429
blue_cone,408,178,609,00:39:16.648966
blue_cone,408,178,609,00:39:16.675470
blue_cone,411,178,605,00:39:16.706934
blue_cone,411,178,605,00:39:16.741850
blue_cone,413,178,596,00:39:17.540722
blue_cone,413,178,597,00:39:17.565161
blue_cone,413,178,603,00:39:17.597557
blue_cone,413,176,586,00:39:17.807555
blue_cone,413,176,583,00:39:17.838111
blue_cone,409,175,586,00:39:17.862117
blue_cone,409,175,589,00:39:17.888602
blue_cone,403,173,586,00:39:17.982406
blue_cone,403,173,581,00:39:18.016028
blue_cone,400,179,592,00:39:18.047437
blue_cone,400,179,586,00:39:18.080863
blue_cone,399,177,588,00:39:18.112268
blue_cone,399,177,588,00:39:18.144957
blue_cone,404,175,580,00:39:18.176581
blue_cone,401,178,589,00:39:18.335382
blue_cone,401,178,586,00:39:18.369055
blue_cone,401,177,582,00:39:18.400515
blue_cone,401,177,585,00:39:18.433925
blue_cone,403,176,580,00:39:19.059536
blue_cone,403,176,581,00:39:19.093494
blue_cone,402,176,579,00:39:19.498972
blue_cone,402,176,579,00:39:19.530229
blue_cone,395,176,588,00:39:19.675236
blue_cone,395,176,587,00:39:19.701423
blue_cone,393,176,592,00:39:19.724832
blue_cone,393,176,589,00:39:19.752686
blue_cone,397,177,584,00:39:19.777558
blue_cone,397,177,584,00:39:19.805621
blue_cone,394,175,586,00:39:19.830210
blue_cone,394,175,585,00:39:19.853789
blue_cone,394,175,585,00:39:19.881194
blue_cone,400,178,583,00:39:19.968364
blue_cone,400,178,582,00:39:20.002033
blue_cone,399,179,582,00:39:20.033027
blue_cone,399,179,581,00:39:20.065525
blue_cone,401,178,579,00:39:20.095398
blue_cone,401,178,584,00:39:20.128160
blue_cone,401,180,580,00:39:20.158512
blue_cone,401,180,583,00:39:20.189745
blue_cone,402,181,583,00:39:20.282376
blue_cone,404,179,580,00:39:20.389395
blue_cone,404,179,582,00:39:20.417006
blue_cone,403,181,583,00:39:20.442089
blue_cone,403,181,583,00:39:20.471582
blue_cone,407,179,578,00:39:20.501513
blue_cone,407,179,580,00:39:20.530131
blue_cone,407,179,581,00:39:20.628213
blue_cone,407,179,584,00:39:20.654939
blue_cone,408,179,580,00:39:20.678728
blue_cone,408,179,580,00:39:20.703058
blue_cone,408,179,581,00:39:20.728872
blue_cone,406,178,579,00:39:20.752701
blue_cone,406,178,579,00:39:20.780017
blue_cone,412,178,577,00:39:20.855203
blue_cone,412,178,578,00:39:20.878857
blue_cone,412,178,578,00:39:20.906221
blue_cone,412,177,581,00:39:21.102142
blue_cone,412,177,578,00:39:21.133554
blue_cone,402,181,592,00:39:21.350912
blue_cone,402,181,592,00:39:21.377482
blue_cone,417,175,579,00:39:22.420158
blue_cone,417,175,579,00:39:22.443155
blue_cone,417,175,579,00:39:22.470370
blue_cone,411,181,597,00:39:22.967992
blue_cone,411,181,594,00:39:23.003306
blue_cone,413,175,586,00:39:23.036106
blue_cone,413,175,584,00:39:23.070720
blue_cone,413,183,585,00:39:23.748532
blue_cone,413,183,588,00:39:23.781702
blue_cone,410,182,589,00:39:23.891387
blue_cone,410,182,588,00:39:23.922268
blue_cone,413,177,575,00:39:24.715532
blue_cone,413,177,575,00:39:24.743006
blue_cone,413,177,579,00:39:25.581746
blue_cone,399,183,594,00:39:25.606836
blue_cone,399,183,594,00:39:25.631133
blue_cone,399,183,597,00:39:25.658860
blue_cone,395,182,601,00:39:25.734508
blue_cone,395,182,597,00:39:25.758913
blue_cone,395,182,602,00:39:25.784650
blue_cone,394,182,602,00:39:25.816970
blue_cone,394,182,599,00:39:25.851546
