Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
pomaranca,84,76,1259000,,,,11:10:25.719974
pomaranca,88,75,4854000,,,,11:10:25.829089
pomaranca,82,74,2453000,,,,11:10:26.301297
pomaranca,82,74,2622000,,,,11:10:26.349794
pomaranca,77,73,4295000,,,,11:10:26.487912
pomaranca,77,74,2959000,,,,11:10:26.535769
pomaranca,73,73,3723000,,,,11:10:26.665835
pomaranca,72,72,6659000,,,,11:10:26.765232
pomaranca,62,72,1056000,,,,11:10:27.030340
pomaranca,57,70,5016000,,,,11:10:27.121783
pomaranca,56,70,4270000,,,,11:10:27.169723
pomaranca,55,68,1504000,,,,11:10:27.303902
pomaranca,54,67,2848000,,,,11:10:27.350427
pomaranca,54,68,1980000,,,,11:10:27.398639
pomaranca,54,68,3546000,,,,11:10:27.445929
pomaranca,55,68,4421000,,,,11:10:27.540380
pomaranca,55,68,6901000,,,,11:10:27.587095
pomaranca,55,68,5034500,,,,11:10:27.853088
pomaranca,54,68,2563000,,,,11:10:27.900578
pomaranca,52,72,2438000,,,,11:10:28.118016
pomaranca,50,71,2318000,,,,11:10:28.164195
pomaranca,62,70,4336500,,,,11:10:29.781163
pomaranca,62,71,2827500,,,,11:10:29.825870
pomaranca,65,71,2364000,,,,11:10:30.139067
pomaranca,66,72,2398000,,,,11:10:30.185474
pomaranca,67,72,5981000,,,,11:10:30.318673
jabolka,568,442,563000,,,,11:10:32.099228
jabolka,55,74,5115000,,,,11:10:32.099592
jabolka,492,365,525000,,,,11:10:32.145738
pomaranca,780,217,542000,,,,11:10:32.146055
jabolka,55,74,4698000,,,,11:10:32.237392
jabolka,54,73,725000,,,,11:10:32.285376
jabolka,477,331,520000,,,,11:10:32.381874
pomaranca,806,217,519000,,,,11:10:32.382232
jabolka,487,333,529000,,,,11:10:32.432416
pomaranca,808,217,517000,,,,11:10:32.432757
jabolka,530,379,509000,,,,11:10:33.185732
pomaranca,833,220,534000,,,,11:10:33.186029
jabolka,537,383,495000,,,,11:10:33.235364
pomaranca,832,221,523000,,,,11:10:33.235687
pomaranca,825,220,490000,,,,11:10:33.283757
jabolka,54,72,2609000,,,,11:10:33.378224
jabolka,52,72,4787000,,,,11:10:33.428711
pomaranca,797,223,492000,,,,11:10:34.095459
jabolka,480,420,491500,,,,11:10:34.143148
pomaranca,789,223,513000,,,,11:10:34.143490
jabolka,470,419,519000,,,,11:10:34.189385
pomaranca,787,223,524000,,,,11:10:34.189717
pomaranca,795,226,600000,,,,11:10:36.646139
pomaranca,796,227,546000,,,,11:10:36.694329
pomaranca,938,229,546000,,,,11:10:37.666923
jabolka,606,352,658000,,,,11:10:38.413892
jabolka,606,306,525000,,,,11:10:38.634680
jabolka,585,342,533500,,,,11:10:38.900392
jabolka,583,346,552000,,,,11:10:38.948380
jabolka,567,342,530000,,,,11:10:39.040328
jabolka,454,355,537000,,,,11:10:40.261937
jabolka,481,368,532000,,,,11:10:40.353705
jabolka,492,362,530000,,,,11:10:40.401314
jabolka,472,366,519000,,,,11:10:40.451561
jabolka,491,360,526000,,,,11:10:40.497580
jabolka,503,357,526000,,,,11:10:40.546213
jabolka,496,357,531000,,,,11:10:40.594906
jabolka,486,359,533000,,,,11:10:40.943638
jabolka,461,361,536000,,,,11:10:40.991421
jabolka,469,372,509000,,,,11:10:42.556449
jabolka,470,373,516000,,,,11:10:42.602136
banana,98,684,568500,,,,11:10:45.300326
banana,70,597,3395000,,,,11:10:45.479787
jabolka,278,282,491000,,,,11:10:49.109386
jabolka,437,288,554000,,,,11:10:49.206363
jabolka,911,432,538000,,,,11:10:50.497431
jabolka,920,414,533000,,,,11:10:50.544606
jabolka,941,457,495500,,,,11:10:50.591048
jabolka,940,406,493500,,,,11:10:50.591392
pomaranca,944,401,490000,,,,11:10:50.591700
jabolka,943,448,508000,,,,11:10:50.640928
jabolka,956,420,490000,,,,11:10:50.689056
jabolka,968,405,505000,,,,11:10:50.740737
jabolka,958,411,492000,,,,11:10:51.303054
jabolka,954,444,502000,,,,11:10:51.350502
pomaranca,216,32,517000,,,,11:10:51.350866
jabolka,958,452,542500,,,,11:10:51.403403
pomaranca,211,32,503000,,,,11:10:51.403735
jabolka,976,455,582500,,,,11:10:51.452930
jabolka,1025,422,555500,,,,11:10:52.278260
jabolka,1019,415,549000,,,,11:10:52.332227
jabolka,1004,402,549000,,,,11:10:52.382954
jabolka,998,394,567500,,,,11:10:52.436785
jabolka,971,328,558000,,,,11:10:52.486896
jabolka,982,325,542000,,,,11:10:52.540000
jabolka,964,315,562000,,,,11:10:52.592140
pomaranca,954,314,3924000,,,,11:10:52.592938
jabolka,963,315,545000,,,,11:10:52.643573
pomaranca,956,311,657000,,,,11:10:52.643961
jabolka,962,316,544500,,,,11:10:52.692540
pomaranca,953,311,2880000,,,,11:10:52.692976
jabolka,963,316,576000,,,,11:10:52.744294
pomaranca,950,312,6509000,,,,11:10:52.744711
pomaranca,943,313,685000,,,,11:10:52.794763
jabolka,945,312,576000,,,,11:10:52.795471
jabolka,935,316,665000,,,,11:10:52.847893
pomaranca,936,317,583000,,,,11:10:52.848325
pomaranca,940,318,550000,,,,11:10:52.900746
jabolka,942,318,548000,,,,11:10:52.901128
jabolka,936,325,541500,,,,11:10:52.949107
pomaranca,935,325,542000,,,,11:10:52.949508
pomaranca,932,328,544000,,,,11:10:53.002039
jabolka,932,328,544000,,,,11:10:53.002372
pomaranca,927,335,574000,,,,11:10:53.052569
jabolka,926,335,574000,,,,11:10:53.052928
pomaranca,924,339,598000,,,,11:10:53.104725
jabolka,928,340,598000,,,,11:10:53.105085
jabolka,946,410,614000,,,,11:10:53.155526
pomaranca,945,350,590000,,,,11:10:53.155947
jabolka,966,432,644500,,,,11:10:53.871884
jabolka,966,432,620000,,,,11:10:53.922533
jabolka,963,433,537500,,,,11:10:53.972479
jabolka,962,390,526000,,,,11:10:53.972811
jabolka,956,434,531500,,,,11:10:54.020763
jabolka,953,375,524000,,,,11:10:54.021118
jabolka,953,433,534000,,,,11:10:54.069972
jabolka,950,372,523000,,,,11:10:54.070335
pomaranca,939,366,530000,,,,11:10:54.121613
pomaranca,933,364,540000,,,,11:10:54.172635
jabolka,946,365,520000,,,,11:10:54.172978
pomaranca,924,363,550000,,,,11:10:54.223842
jabolka,948,365,524000,,,,11:10:54.224207
jabolka,952,424,531000,,,,11:10:54.224512
jabolka,959,425,530500,,,,11:10:54.275633
jabolka,957,386,521000,,,,11:10:54.275979
jabolka,962,425,535000,,,,11:10:54.329652
jabolka,963,425,528000,,,,11:10:54.379387
jabolka,962,426,1863000,,,,11:10:54.431972
jabolka,955,430,532500,,,,11:10:54.483372
pomaranca,936,366,550000,,,,11:10:54.483747
jabolka,953,371,526000,,,,11:10:54.484045
pomaranca,938,368,527000,,,,11:10:54.536688
