Objekt,X,Y,Širina,Višina,Zaupanje,Čas
jabolka,1260,489,39,350,0.45,12:17:02.891277
jabolka,690,511,208,418,0.61,12:17:03.146644
jabolka,689,517,209,406,0.60,12:17:03.302037
jabolka,686,518,213,403,0.69,12:17:03.454083
jabolka,687,518,216,404,0.69,12:17:03.626998
jabolka,762,349,226,270,0.36,12:17:04.033726
jabolka,886,226,208,228,0.44,12:17:04.242221
banana,748,655,64,112,0.36,12:17:04.242862
jabolka,924,209,203,232,0.39,12:17:04.444623
banana,748,652,66,117,0.30,12:17:04.445408
jabolka,918,216,207,231,0.44,12:17:04.671087
banana,748,652,66,117,0.28,12:17:04.671465
jabolka,912,217,207,232,0.54,12:17:04.869985
banana,748,650,66,122,0.33,12:17:04.870797
jabolka,912,217,206,227,0.57,12:17:05.089847
banana,747,660,65,101,0.28,12:17:05.090359
jabolka,912,219,201,226,0.66,12:17:05.244054
banana,747,659,65,104,0.28,12:17:05.244488
jabolka,911,219,202,225,0.62,12:17:05.474922
jabolka,906,219,204,227,0.56,12:17:05.677159
banana,748,654,64,114,0.28,12:17:05.677564
jabolka,895,215,199,238,0.62,12:17:05.846319
banana,747,666,65,90,0.26,12:17:05.846872
jabolka,899,215,183,236,0.60,12:17:06.064269
jabolka,916,217,172,216,0.32,12:17:06.211438
jabolka,712,413,191,435,0.35,12:17:06.460329
jabolka,921,221,174,215,0.34,12:17:06.461069
banana,746,668,62,86,0.27,12:17:06.461537
jabolka,916,225,169,212,0.42,12:17:06.685427
jabolka,711,418,182,440,0.41,12:17:06.686856
banana,746,667,62,87,0.27,12:17:06.689382
jabolka,709,421,182,437,0.52,12:17:06.914466
jabolka,915,230,168,211,0.38,12:17:06.914978
jabolka,708,418,176,430,0.58,12:17:07.120634
jabolka,909,231,172,208,0.38,12:17:07.122674
jabolka,909,240,170,216,0.49,12:17:07.338253
jabolka,708,420,176,430,0.48,12:17:07.338650
jabolka,907,239,170,218,0.43,12:17:07.552416
jabolka,708,420,175,436,0.40,12:17:07.553825
jabolka,831,340,171,269,0.32,12:17:07.774138
jabolka,730,354,142,394,0.53,12:17:07.994053
banana,748,654,67,114,0.26,12:17:08.640674
banana,747,656,65,109,0.36,12:17:08.850929
jabolka,688,388,198,446,0.77,12:17:09.037523
jabolka,713,343,145,537,0.34,12:17:09.038277
banana,746,665,63,92,0.27,12:17:09.038908
jabolka,673,382,234,476,0.46,12:17:09.261202
banana,747,665,65,93,0.37,12:17:09.261593
banana,748,664,64,94,0.42,12:17:09.490603
banana,747,665,65,92,0.27,12:17:09.685354
banana,747,665,64,89,0.35,12:17:09.883210
jabolka,692,400,194,441,0.33,12:17:09.884014
jabolka,681,407,206,421,0.38,12:17:10.111413
jabolka,617,418,240,395,0.53,12:17:10.331124
jabolka,670,131,92,166,0.27,12:17:10.331526
jabolka,552,408,221,435,0.51,12:17:10.497641
jabolka,482,458,203,439,0.31,12:17:11.404087
jabolka,773,640,110,155,0.85,12:17:12.208164
jabolka,603,244,129,110,0.25,12:17:12.208977
jabolka,772,640,108,154,0.83,12:17:12.434734
jabolka,771,640,109,154,0.79,12:17:12.642692
jabolka,772,640,108,154,0.80,12:17:12.878224
jabolka,771,640,107,153,0.81,12:17:13.071585
jabolka,772,640,108,153,0.83,12:17:13.285082
jabolka,771,640,109,154,0.78,12:17:13.531191
jabolka,772,640,108,153,0.82,12:17:13.754871
